MOF,ASA_m^2/g,AV_Volume_fraction,AV_cm^3/g,POAV_Volume_fraction,POAV_cm^3/g,Channel Dimensionality,Working,TSN,Loged selec,vertice,edge,topo,di,df,dif
m209_4c_square_o86_4c_square_cdz,0,0.43458,0.236326,0.14532,0.0790254,1,0.871830816,2.852802684,3.272197577,square,square,cdz,3.53723,3.04182,3.53723
m353_fixedL_n2_4c_square_o242_4c_square_mot,0,0.44102,0.192259,0.23332,0.101714,1,0.566517041,1.85124634,3.267768145,square,square,mot,4.97849,3.35557,4.97849
m477_4c_square_o178_4c_square_cdm,0,0.45346,0.278279,0.10316,0.063307,1,0.298400143,0.929341357,3.114413244,square,square,cdm,3.8838,3.1331,3.72211
m147_4c_square_o281_2c_lvt,5.85655,0.13124,0.0524734,0.0388,0.0155133,1,0.079631268,0.246773643,3.098954081,square,2c,lvt,3.96461,3.7416,3.95746
m312_fixedH_4c_square_o248_n2_4c_square_mot,0,0.4953,0.318485,0.3898,0.250647,2,0.920519565,2.832738792,3.077326001,square,square,mot,4.4148,3.46619,4.39968
m325_8c_o391_n2_2c_bcu,0,0.52732,0.401779,0.38706,0.294911,1,1.461354975,4.48421305,3.068531005,8c,2c,bcu,5.98207,3.44187,5.95921
m477_4c_square_o245_4c_square_cdm,0,0.47396,0.306395,0.16006,0.103472,1,2.089029682,6.403456428,3.065277858,square,square,cdm,3.96046,3.18626,3.50334
m478_fixedH_p2_4c_square_o224_4c_square_cdz,0,0.50212,0.343071,0.2533,0.173066,1,1.286514745,3.827663086,2.975218979,square,square,cdz,4.37614,3.42104,4.37614
m129_6c_oct_o399_2c_pcu,608.056,0.5585,0.410373,0.41904,0.307901,2,1.747892499,5.192761514,2.970870072,oct,2c,pcu,5.99202,4.70773,5.96724
m2_4c_square_o113_4c_square_cdz,0,0.29722,0.111085,0.11082,0.0414187,1,0.448509447,1.332366435,2.970654117,square,square,cdz,3.24229,3.05834,3.24229
m477_4c_square_o224_4c_square_cdm,0,0.53136,0.390578,0.38536,0.28326,1,2.285835356,6.770105174,2.961764134,square,square,cdm,4.60756,3.40644,3.91793
m312_fixedH_4c_square_o82_4c_square_mot,0,0.39774,0.227521,0.25432,0.14548,1,1.438834628,4.241488866,2.947864045,square,square,mot,3.70215,3.2047,3.70215
m353_fixedL_n2_4c_square_o202_4c_square_sse,0,0.4467,0.202631,0.14238,0.064586,1,0.452334269,1.329495962,2.939189119,square,square,sse,4.92426,3.53489,4.92426
m478_fixedH_p2_4c_square_o242_4c_square_mot,256.376,0.49788,0.331296,0.35434,0.235782,1,2.544268569,7.475953668,2.938350832,square,square,mot,5.07586,3.85087,5.07586
m3_4c_square_o175_4c_square_cdm,0,0.5283,0.356419,0.26068,0.175869,1,1.068943283,3.134983093,2.93278712,square,square,cdm,3.97386,3.27085,3.94889
